movieId,title
1,Rogue One / Star Wars
2,Fight Club
3,Lord of the Rings
4,Trolls
5,Despicable Me
6,Kubo
7,Hangover
8,Captain America
9,The big Lebowski
10,Almost Famous
11,Hunger games
12,Pulp Fiction
13,Sing
14,500 days of Summer
15,Twilight
16,Lala Land
17,Moonlight
18,Hidden Figures
19,Ghostbusters
20,Godfather
21,Pretty woman
22,The Martian
23,The Intern
24,Zootopia
25,X-Men
26,Star Wars
27,Mission: Impossible - Rogue Nation
28,Spy
29,Guardians of the Galaxy
30,The Minions
31,Gone Girl
